year,type,action,employed/self-employed (full or part time),in full or part time education,unemployed/not working
2014,activity,went on general days out/ to explore an area,12.1,2.8,1.4
2014,activity,went on day trips/excursions for another leisure purpose not mentioned above,6.6,1.6,0.6
2015,activity,visited friends or family for leisure,25.5,6.0,8.6
2015,activity,'special' shopping for items that you do not regularly buy,9.8,1.7,2.9
2015,activity,went out for a meal,21.3,3.4,4.0
2015,activity,"went on a night out to a bar, pub and/or club",13.3,3.6,2.9
2015,activity,"went out for entertainment – to a cinema, concert or theatre",8.7,2.1,1.9
2015,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",13.9,3.3,4.1
2015,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",6.9,2.2,1.4
2015,activity,"took part in sports, including exercise classes, going to the gym",4.8,2.3,0.3
2015,activity,watched live sporting event (not on tv),9.8,1.7,1.0
2015,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",6.7,2.6,1.5
2015,activity,"went to a special public event such as a festival, exhibition, etc.",5.3,1.4,1.2
2015,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.3,1.5,0.3
2015,activity,"went on days out to a beauty/health centre/spa, etc.",1.2,0.8,0.2
2015,activity,went on general days out/ to explore an area,12.3,1.6,2.2
2015,activity,went on day trips/excursions for another leisure purpose not mentioned above,4.8,1.1,1.4
2016,activity,visited friends or family for leisure,24.2,4.6,3.6
2016,activity,'special' shopping for items that you do not regularly buy,10.5,1.2,1.3
2016,activity,went out for a meal,20.6,2.1,2.4
2016,activity,"went on a night out to a bar, pub and/or club",11.6,3.1,1.4
2016,activity,"went out for entertainment – to a cinema, concert or theatre",7.6,3.6,1.0
2016,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",15.3,4.2,1.5
2016,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",3.5,2.2,1.0
2016,activity,"took part in sports, including exercise classes, going to the gym",4.7,2.2,0.3
2016,activity,watched live sporting event (not on tv),7.6,2.5,0.7
2016,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",6.1,3.2,0.7
2016,activity,"went to a special public event such as a festival, exhibition, etc.",3.6,0.9,1.0
2016,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",3.3,0.2,0.4
2016,activity,"went on days out to a beauty/health centre/spa, etc.",1.1,0.2,0.6
2016,activity,went on general days out/ to explore an area,10.2,1.7,1.9
2016,activity,went on day trips/excursions for another leisure purpose not mentioned above,6.1,2.9,1.2
2017,activity,visited friends or family for leisure,28.7,6.0,5.2
2017,activity,'special' shopping for items that you do not regularly buy,11.7,2.1,3.2
2017,activity,went out for a meal,22.0,3.8,3.2
2017,activity,"went on a night out to a bar, pub and/or club",14.8,3.1,1.6
2017,activity,"went out for entertainment – to a cinema, concert or theatre",10.8,1.8,0.8
2017,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",20.5,3.3,4.0
2017,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",5.6,0.9,2.1
2017,activity,"took part in sports, including exercise classes, going to the gym",7.3,1.1,0.8
2017,activity,watched live sporting event (not on tv),8.0,0.9,1.0
2017,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",8.4,2.3,1.9
2017,activity,"went to a special public event such as a festival, exhibition, etc.",5.8,1.5,1.6
2017,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",3.4,1.6,0.2
2017,activity,"went on days out to a beauty/health centre/spa, etc.",2.8,0.3,0.3
2017,activity,went on general days out/ to explore an area,13.6,2.9,2.6
2017,activity,went on day trips/excursions for another leisure purpose not mentioned above,4.8,1.1,1.0
2018,activity,visited friends or family for leisure,25.3,4.5,6.1
2018,activity,'special' shopping for items that you do not regularly buy,9.9,1.2,2.3
2018,activity,went out for a meal,20.8,3.7,3.4
2018,activity,"went on a night out to a bar, pub and/or club",11.9,2.3,0.9
2018,activity,"went out for entertainment – to a cinema, concert or theatre",8.2,0.7,1.9
2018,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",15.1,2.7,2.6
2018,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",4.0,1.5,2.0
2018,activity,"took part in sports, including exercise classes, going to the gym",5.8,1.7,0.5
2018,activity,watched live sporting event (not on tv),7.3,0.6,1.6
2018,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",8.5,1.9,1.7
2018,activity,"went to a special public event such as a festival, exhibition, etc.",4.1,0.4,1.0
2018,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.9,0.9,0.3
2018,activity,"went on days out to a beauty/health centre/spa, etc.",1.6,0.5,0.1
2018,activity,went on general days out/ to explore an area,14.4,3.5,3.0
2018,activity,went on day trips/excursions for another leisure purpose not mentioned above,4.4,1.6,1.8
2019,activity,visited friends or family for leisure,24.6,3.8,8.1
2019,activity,'special' shopping for items that you do not regularly buy,11.6,1.9,2.4
2019,activity,went out for a meal,18.4,2.9,2.9
2019,activity,"went on a night out to a bar, pub and/or club",11.2,1.7,1.7
2019,activity,"went out for entertainment – to a cinema, concert or theatre",8.6,1.4,1.5
2019,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",15.1,3.5,4.0
2019,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",7.0,1.5,1.7
2019,activity,"took part in sports, including exercise classes, going to the gym",5.2,0.6,0.8
2019,activity,watched live sporting event (not on tv),8.2,1.1,1.3
2019,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",8.6,1.2,1.0
2019,activity,"went to a special public event such as a festival, exhibition, etc.",3.9,1.8,1.0
2019,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",3.0,0.7,0.8
2019,activity,"went on days out to a beauty/health centre/spa, etc.",3.7,0.6,0.4
2019,activity,went on general days out/ to explore an area,12.0,2.7,3.2
2019,activity,went on day trips/excursions for another leisure purpose not mentioned above,5.3,1.0,0.8
