year,type,activity,access to car (1+),no access to car (0)
2018,activity,went on general days out/ to explore an area,20.5,4.8
2018,activity,went on day trips/excursions for another leisure purpose not mentioned above,8.6,1.6
2019,activity,visited friends or family for leisure,40.4,8.3
2019,activity,'special' shopping for items that you do not regularly buy,16.7,3.0
2019,activity,went out for a meal,27.3,5.9
2019,activity,"went on a night out to a bar, pub and/or club",14.4,3.4
2019,activity,"went out for entertainment – to a cinema, concert or theatre",11.0,1.8
2019,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",23.3,6.6
2019,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",7.5,3.2
2019,activity,"took part in sports, including exercise classes, going to the gym",6.3,1.0
2019,activity,watched live sporting event (not on tv),10.0,2.6
2019,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",10.8,2.3
2019,activity,"went to a special public event such as a festival, exhibition, etc.",6.5,1.8
2019,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",4.2,1.6
2019,activity,"went on days out to a beauty/health centre/spa, etc.",4.1,0.7
2019,activity,went on general days out/ to explore an area,19.6,4.3
2019,activity,went on day trips/excursions for another leisure purpose not mentioned above,7.6,1.2
