,year,type,activity,access to car (1+),no access to car (0),place
41,2013,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",3.6,0.8,
42,2013,activity,"went on days out to a beauty/health centre/spa, etc.",0.9,0.2,
43,2013,activity,went on general days out/ to explore an area,16.5,2.9,
44,2013,activity,went on day trips/excursions for another leisure purpose not mentioned above,8.6,1.8,
45,2014,activity,visited friends or family for leisure,36.0,11.0,
46,2014,activity,'special' shopping for items that you do not regularly buy,16.2,3.4,
47,2014,activity,went out for a meal,30.3,5.8,
48,2014,activity,"went on a night out to a bar, pub and/or club",18.1,4.6,
49,2014,activity,"went out for entertainment – to a cinema, concert or theatre",10.7,2.5,
50,2014,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",18.7,6.1,
51,2014,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",8.8,0.9,
52,2014,activity,"took part in sports, including exercise classes, going to the gym",4.8,0.6,
53,2014,activity,watched live sporting event (not on tv),8.8,1.7,
54,2014,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",8.7,4.4,
55,2014,activity,"went to a special public event such as a festival, exhibition, etc.",7.4,1.3,
56,2014,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",4.1,0.8,
57,2014,activity,"went on days out to a beauty/health centre/spa, etc.",1.4,0.6,
58,2014,activity,went on general days out/ to explore an area,17.9,4.1,
59,2014,activity,went on day trips/excursions for another leisure purpose not mentioned above,8.2,3.5,
60,2015,activity,visited friends or family for leisure,37.4,15.0,
61,2015,activity,'special' shopping for items that you do not regularly buy,13.9,4.5,
62,2015,activity,went out for a meal,32.4,7.2,
63,2015,activity,"went on a night out to a bar, pub and/or club",15.1,7.2,
64,2015,activity,"went out for entertainment – to a cinema, concert or theatre",10.0,3.9,
65,2015,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",21.0,6.2,
66,2015,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",8.8,2.9,
67,2015,activity,"took part in sports, including exercise classes, going to the gym",6.7,1.7,
68,2015,activity,watched live sporting event (not on tv),10.9,3.1,
69,2015,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",8.3,4.2,
70,2015,activity,"went to a special public event such as a festival, exhibition, etc.",7.3,1.9,
71,2015,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",4.2,1.7,
72,2015,activity,"went on days out to a beauty/health centre/spa, etc.",1.4,0.9,
73,2015,activity,went on general days out/ to explore an area,17.3,3.4,
74,2015,activity,went on day trips/excursions for another leisure purpose not mentioned above,7.7,2.5,
75,2016,activity,visited friends or family for leisure,36.6,7.9,
76,2016,activity,'special' shopping for items that you do not regularly buy,14.3,3.5,
77,2016,activity,went out for a meal,31.9,4.3,
78,2016,activity,"went on a night out to a bar, pub and/or club",17.1,3.0,
79,2016,activity,"went out for entertainment – to a cinema, concert or theatre",11.1,1.8,
80,2016,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",24.9,4.6,
81,2016,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",7.7,1.0,
82,2016,activity,"took part in sports, including exercise classes, going to the gym",7.7,0.6,
83,2016,activity,watched live sporting event (not on tv),9.8,2.5,
84,2016,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",11.1,1.7,
85,2016,activity,"went to a special public event such as a festival, exhibition, etc.",4.5,1.7,
86,2016,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",4.5,0.8,
87,2016,activity,"went on days out to a beauty/health centre/spa, etc.",1.3,0.6,
88,2016,activity,went on general days out/ to explore an area,15.7,3.4,
89,2016,activity,went on day trips/excursions for another leisure purpose not mentioned above,9.8,1.8,
90,2017,activity,visited friends or family for leisure,40.3,8.7,
91,2017,activity,'special' shopping for items that you do not regularly buy,18.1,2.5,
92,2017,activity,went out for a meal,33.2,5.3,
93,2017,activity,"went on a night out to a bar, pub and/or club",17.8,5.0,
94,2017,activity,"went out for entertainment – to a cinema, concert or theatre",13.2,1.9,
95,2017,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",28.9,5.7,
96,2017,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",8.0,1.4,
97,2017,activity,"took part in sports, including exercise classes, going to the gym",8.2,2.1,
98,2017,activity,watched live sporting event (not on tv),10.4,1.3,
99,2017,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",11.2,3.2,
100,2017,activity,"went to a special public event such as a festival, exhibition, etc.",8.1,1.9,
101,2017,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",5.2,1.1,
102,2017,activity,"went on days out to a beauty/health centre/spa, etc.",3.4,0.4,
103,2017,activity,went on general days out/ to explore an area,22.1,3.0,
104,2017,activity,went on day trips/excursions for another leisure purpose not mentioned above,7.2,1.9,
105,2018,activity,visited friends or family for leisure,37.1,8.0,
106,2018,activity,'special' shopping for items that you do not regularly buy,15.1,2.5,
107,2018,activity,went out for a meal,32.6,4.9,
108,2018,activity,"went on a night out to a bar, pub and/or club",15.6,3.2,
109,2018,activity,"went out for entertainment – to a cinema, concert or theatre",11.0,2.3,
110,2018,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",21.2,4.1,
111,2018,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",7.6,1.3,
112,2018,activity,"took part in sports, including exercise classes, going to the gym",7.6,1.0,
113,2018,activity,watched live sporting event (not on tv),9.5,1.7,
114,2018,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",11.4,2.3,
115,2018,activity,"went to a special public event such as a festival, exhibition, etc.",5.6,1.0,
116,2018,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",4.1,0.8,
117,2018,activity,"went on days out to a beauty/health centre/spa, etc.",2.3,0.3,
118,2018,activity,went on general days out/ to explore an area,20.5,4.8,
119,2018,activity,went on day trips/excursions for another leisure purpose not mentioned above,8.6,1.6,
120,2019,activity,visited friends or family for leisure,40.4,8.3,
121,2019,activity,'special' shopping for items that you do not regularly buy,16.7,3.0,
122,2019,activity,went out for a meal,27.3,5.9,
123,2019,activity,"went on a night out to a bar, pub and/or club",14.4,3.4,
124,2019,activity,"went out for entertainment – to a cinema, concert or theatre",11.0,1.8,
125,2019,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",23.3,6.6,
126,2019,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",7.5,3.2,
127,2019,activity,"took part in sports, including exercise classes, going to the gym",6.3,1.0,
128,2019,activity,watched live sporting event (not on tv),10.0,2.6,
129,2019,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",10.8,2.3,
130,2019,activity,"went to a special public event such as a festival, exhibition, etc.",6.5,1.8,
131,2019,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",4.2,1.6,
132,2019,activity,"went on days out to a beauty/health centre/spa, etc.",4.1,0.7,
133,2019,activity,went on general days out/ to explore an area,19.6,4.3,
134,2019,activity,went on day trips/excursions for another leisure purpose not mentioned above,7.6,1.2,
0,2011,place,,51.8,13.2,city/large town
1,2011,place,,37.2,6.2,small town
2,2011,place,,15.7,2.4,village
3,2011,place,,20.4,3.7,rural countryside
4,2011,place,,8.5,1.3,seaside resort or town
5,2011,place,,5.9,1.1,seaside coastline - a beach
6,2011,place,,1.9,0.2,other seaside coastline
7,2011,place,,2.5,0.8,other
8,2012,place,,61.7,13.6,city/large town
9,2012,place,,36.4,7.5,small town
10,2012,place,,14.5,4.0,village
11,2012,place,,21.4,3.0,rural countryside
12,2012,place,,7.0,1.7,seaside resort or town
13,2012,place,,5.8,0.4,seaside coastline - a beach
14,2012,place,,2.2,0.1,other seaside coastline
15,2012,place,,3.0,0.5,other
16,2013,place,,53.4,14.9,city/large town
17,2013,place,,31.1,6.3,small town
18,2013,place,,14.3,2.5,village
19,2013,place,,16.7,4.0,rural countryside
20,2013,place,,7.6,1.2,seaside resort or town
21,2013,place,,4.2,0.8,seaside coastline - a beach
22,2013,place,,2.2,0.7,other seaside coastline
23,2013,place,,1.9,0.5,other
24,2014,place,,51.9,16.2,city/large town
25,2014,place,,32.9,7.0,small town
26,2014,place,,12.0,2.1,village
27,2014,place,,17.4,3.9,rural countryside
28,2014,place,,8.5,1.0,seaside resort or town
29,2014,place,,4.4,0.7,seaside coastline - a beach
30,2014,place,,2.0,0.6,other seaside coastline
31,2015,place,,49.3,18.3,city/large town
32,2015,place,,27.3,9.7,small town
33,2015,place,,10.2,2.6,village
34,2015,place,,17.0,2.8,rural countryside
35,2015,place,,6.6,2.0,seaside resort or town
36,2015,place,,3.2,1.4,seaside coastline - a beach
37,2015,place,,1.4,0.4,other seaside coastline
38,2016,place,,50.5,10.6,city/large town
39,2016,place,,32.4,6.3,small town
40,2016,place,,14.7,2.1,village
41,2016,place,,18.7,2.8,rural countryside
42,2016,place,,6.2,1.0,seaside resort or town
43,2016,place,,3.9,0.8,seaside coastline - a beach
44,2016,place,,1.5,0.5,other seaside coastline
45,2017,place,,58.0,12.1,city/large town
46,2017,place,,34.5,5.5,small town
47,2017,place,,16.8,1.9,village
48,2017,place,,17.3,3.6,rural countryside
49,2017,place,,7.6,1.6,seaside resort or town
50,2017,place,,7.0,1.3,seaside coastline - a beach
51,2017,place,,1.7,0.0,other seaside coastline
52,2018,place,,52.2,11.3,city/large town
53,2018,place,,31.0,6.7,small town
54,2018,place,,13.1,2.4,village
55,2018,place,,15.5,1.6,rural countryside
56,2018,place,,6.1,1.6,seaside resort or town
57,2018,place,,4.6,0.7,seaside coastline - a beach
58,2018,place,,1.7,0.2,other seaside coastline
59,2019,place,,47.3,11.4,city/large town
60,2019,place,,30.2,6.2,small town
61,2019,place,,13.5,2.7,village
62,2019,place,,16.3,2.4,rural countryside
63,2019,place,,8.0,1.0,seaside resort or town
64,2019,place,,5.2,1.5,seaside coastline - a beach
65,2019,place,,1.4,0.0,other seaside coastline
0,2011,transport,,97.2,6.2,
1,2011,transport,,95.3,5.8,
2,2011,transport,,1.9,0.4,
3,2011,transport,,12.4,13.3,
4,2011,transport,,7.5,5.3,
5,2011,transport,,4.9,7.9,
6,2011,transport,,2.2,0.0,
7,2011,transport,,4.3,0.5,
8,2011,transport,,7.0,4.8,
9,2011,transport,,0.5,0.2,
10,2011,transport,,0.7,0.1,
11,2011,transport,,0.4,0.2,
12,2011,transport,,0.7,0.1,
13,2011,transport,,0.5,0.0,
14,2011,transport,,0.2,0.4,
15,2011,transport,,1.2,0.4,
16,2011,transport,,0.4,0.1,
17,2011,transport,,0.2,0.0,
18,2011,transport,,0.2,0.0,
19,2012,transport,,104.8,6.0,
20,2012,transport,,104.1,5.3,
21,2012,transport,,0.8,0.7,
22,2012,transport,,15.4,13.4,
23,2012,transport,,8.5,6.1,
24,2012,transport,,6.9,7.4,
25,2012,transport,,1.6,0.2,
26,2012,transport,,2.4,1.3,
27,2012,transport,,6.6,4.0,
28,2012,transport,,0.6,1.4,
29,2012,transport,,0.5,0.1,
30,2012,transport,,0.1,0.0,
31,2012,transport,,0.5,0.1,
32,2012,transport,,0.0,0.0,
33,2012,transport,,0.0,0.0,
34,2012,transport,,0.5,0.0,
35,2012,transport,,0.7,0.0,
36,2012,transport,,1.4,0.7,
37,2012,transport,,0.7,0.4,
38,2013,transport,,85.6,8.0,
39,2013,transport,,83.9,7.7,
40,2013,transport,,1.7,0.3,
41,2013,transport,,16.4,13.6,
42,2013,transport,,9.9,5.4,
43,2013,transport,,6.5,8.2,
44,2013,transport,,0.9,0.7,
45,2013,transport,,2.7,0.4,
46,2013,transport,,5.1,3.4,
47,2013,transport,,0.8,1.0,
48,2013,transport,,0.2,0.0,
49,2013,transport,,0.5,0.0,
50,2013,transport,,0.2,0.0,
51,2013,transport,,0.0,0.0,
52,2013,transport,,0.5,0.0,
53,2013,transport,,0.2,0.1,
54,2013,transport,,0.8,0.1,
55,2013,transport,,0.4,0.0,
56,2013,transport,,0.7,0.2,
57,2014,transport,,85.5,9.0,
58,2014,transport,,1.2,0.4,
59,2014,transport,,16.8,12.9,
60,2014,transport,,9.8,6.6,
61,2014,transport,,7.0,6.3,
62,2014,transport,,0.7,0.1,
63,2014,transport,,3.2,1.8,
64,2014,transport,,5.4,4.1,
65,2014,transport,,0.9,0.5,
66,2014,transport,,0.1,0.2,
67,2014,transport,,0.2,0.0,
68,2014,transport,,0.1,0.0,
69,2014,transport,,0.3,0.2,
70,2014,transport,,0.1,0.0,
71,2014,transport,,0.5,0.1,
72,2014,transport,,0.7,0.0,
73,2014,transport,,0.1,0.1,
74,2014,transport,,0.4,0.7,
75,2015,transport,,78.8,8.6,
76,2015,transport,,1.6,0.3,
77,2015,transport,,16.1,17.6,
78,2015,transport,,9.4,8.0,
79,2015,transport,,6.7,9.7,
80,2015,transport,,1.4,0.8,
81,2015,transport,,1.7,1.7,
82,2015,transport,,4.8,4.0,
83,2015,transport,,0.6,0.4,
84,2015,transport,,0.9,0.1,
85,2015,transport,,0.2,0.0,
86,2015,transport,,0.0,0.1,
87,2015,transport,,0.3,0.0,
88,2015,transport,,0.1,0.0,
89,2015,transport,,0.9,0.1,
90,2015,transport,,0.7,0.0,
91,2015,transport,,0.1,0.0,
92,2015,transport,,0.5,0.2,
93,2016,transport,,85.6,6.3,
94,2016,transport,,2.2,0.4,
95,2016,transport,,16.9,11.0,
96,2016,transport,,9.3,4.8,
97,2016,transport,,7.6,6.2,
98,2016,transport,,1.2,0.3,
99,2016,transport,,4.4,0.5,
100,2016,transport,,5.7,2.2,
101,2016,transport,,0.8,0.1,
102,2016,transport,,0.2,0.3,
103,2016,transport,,0.2,0.0,
104,2016,transport,,0.4,0.1,
105,2016,transport,,0.5,0.2,
106,2016,transport,,0.0,0.1,
107,2016,transport,,0.2,0.1,
108,2016,transport,,1.7,0.4,
109,2017,transport,,86.4,6.2,
110,2017,transport,,6.0,0.4,
111,2017,transport,,18.8,10.4,
112,2017,transport,,11.7,4.3,
113,2017,transport,,7.1,6.1,
114,2017,transport,,2.5,0.5,
115,2017,transport,,2.8,1.0,
116,2017,transport,,5.3,3.3,
117,2017,transport,,0.8,0.7,
118,2017,transport,,0.4,0.2,
119,2017,transport,,0.4,0.2,
120,2017,transport,,0.8,0.0,
121,2017,transport,,1.4,0.4,
122,2017,transport,,0.5,0.0,
123,2017,transport,,0.4,0.1,
124,2017,transport,,0.8,0.4,
125,2018,transport,,78.8,5.4,
126,2018,transport,,2.3,0.4,
127,2018,transport,,17.9,11.1,
128,2018,transport,,11.9,4.9,
129,2018,transport,,5.9,6.3,
130,2018,transport,,0.7,0.4,
131,2018,transport,,2.3,1.2,
132,2018,transport,,8.0,3.2,
133,2018,transport,,0.7,0.0,
134,2018,transport,,0.1,0.5,
135,2018,transport,,0.2,0.1,
136,2018,transport,,0.1,0.1,
137,2018,transport,,1.5,0.2,
138,2018,transport,,0.1,0.1,
139,2018,transport,,0.1,0.3,
140,2018,transport,,1.6,0.4,
141,2019,transport,,74.3,5.7,
142,2019,transport,,2.1,0.1,
143,2019,transport,,16.2,12.4,
144,2019,transport,,9.9,5.9,
145,2019,transport,,6.3,6.4,
146,2019,transport,,1.9,0.6,
147,2019,transport,,4.4,1.2,
148,2019,transport,,5.4,2.1,
149,2019,transport,,0.9,0.3,
150,2019,transport,,1.5,0.1,
151,2019,transport,,0.2,0.2,
152,2019,transport,,0.4,0.0,
153,2019,transport,,1.1,0.3,
154,2019,transport,,0.4,0.1,
155,2019,transport,,0.3,0.0,
156,2019,transport,,1.2,0.2,
