"Start month of trip"
"Base: Total trip"

"All Scotland"
""," ","Gender",,"Working status",,,"Age",,,,,,,,,"SEC",,,,,,"Marital status",,,
"August-2019","1667.8","715.0","952.8","693.7","261.0","713.1","120.1","256.2","387.5","236.8","352.7","667.2","314.4","376.3","624.3","189.0","566.4","501.5","230.4","152.0","28.5","1199.5","261.0","207.3",
"","12.1%","10.2%","14.1%","9.9%","13.2%","14.8%","10.3%","11.4%","15.3%","9.7%","12.1%","12.3%","12.6%","11.0%","12.6%","12.3%","11.5%","12.7%","11.2%","17.4%","6.1%","12.5%","10.2%","12.5%",""

"September-2019","947.4","519.5","427.9","467.5","43.8","436.0","53.8","36.1","154.0","145.8","293.9","557.6","263.7","89.9","299.8","99.6","263.7","310.5","170.0","63.8","39.7","649.9","139.6","157.9",
"","6.9%","7.4%","6.3%","6.7%","2.2%","9.0%","4.6%","1.6%","6.1%","6.0%","10.1%","10.3%","10.5%","2.6%","6.0%","6.5%","5.4%","7.9%","8.3%","7.3%","8.5%","6.8%","5.5%","9.5%",""

"October-2019","993.6","528.0","465.6","438.5","156.5","398.6","59.4","123.8","199.9","164.2","190.0","446.3","256.3","183.2","364.1","118.6","355.9","258.4","167.8","56.1","36.8","698.1","142.3","153.1",
"","7.2%","7.5%","6.9%","6.3%","7.9%","8.3%","5.1%","5.5%","7.9%","6.7%","6.5%","8.2%","10.2%","5.4%","7.3%","7.7%","7.2%","6.5%","8.2%","6.4%","7.9%","7.3%","5.6%","9.2%",""

"November-2019","956.5","401.1","555.3","398.5","120.0","438.0","120.7","189.0","174.4","112.3","212.3","360.1","147.8","309.7","286.6","68.8","335.3","346.4","113.1","72.3","20.5","541.7","310.4","89.0",
"","6.9%","5.7%","8.2%","5.7%","6.1%","9.1%","10.3%","8.4%","6.9%","4.6%","7.3%","6.6%","5.9%","9.1%","5.8%","4.5%","6.8%","8.8%","5.5%","8.3%","4.4%","5.7%","12.1%","5.4%",""

"December-2019","1128.9","576.5","552.4","470.0","179.2","479.7","152.5","237.7","167.7","214.7","160.6","356.4","195.8","390.2","382.3","45.3","422.7","471.8","78.7","51.3","59.2","837.9","179.1","111.9",
"","8.2%","8.2%","8.2%","6.7%","9.0%","9.9%","13.0%","10.6%","6.6%","8.8%","5.5%","6.6%","7.8%","11.4%","7.7%","2.9%","8.6%","11.9%","3.8%","5.9%","12.7%","8.7%","7.0%","6.8%",""
