,year,type,activity,ab,c1,c2,de,place
71,2015,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",1.8,1.2,0.9,1.9,
72,2015,activity,"went on days out to a beauty/health centre/spa, etc.",0.6,0.5,0.2,1.0,
73,2015,activity,went on general days out/ to explore an area,7.3,6.7,3.6,3.1,
74,2015,activity,went on day trips/excursions for another leisure purpose not mentioned above,3.4,4.1,0.8,1.9,
75,2016,activity,visited friends or family for leisure,14.0,14.3,7.5,8.7,
76,2016,activity,'special' shopping for items that you do not regularly buy,4.9,5.5,3.6,3.8,
77,2016,activity,went out for a meal,13.4,11.2,6.8,4.8,
78,2016,activity,"went on a night out to a bar, pub and/or club",8.2,5.7,2.9,3.2,
79,2016,activity,"went out for entertainment – to a cinema, concert or theatre",6.6,3.3,1.8,1.2,
80,2016,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",11.8,7.5,4.6,5.5,
81,2016,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",4.6,2.1,0.5,1.6,
82,2016,activity,"took part in sports, including exercise classes, going to the gym",4.1,2.2,1.2,0.8,
83,2016,activity,watched live sporting event (not on tv),4.4,3.8,2.3,1.8,
84,2016,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",6.2,3.5,1.6,1.5,
85,2016,activity,"went to a special public event such as a festival, exhibition, etc.",2.2,1.8,0.9,1.3,
86,2016,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.1,1.5,0.9,0.8,
87,2016,activity,"went on days out to a beauty/health centre/spa, etc.",0.7,0.3,0.3,0.7,
88,2016,activity,went on general days out/ to explore an area,6.2,6.5,2.6,3.9,
89,2016,activity,went on day trips/excursions for another leisure purpose not mentioned above,4.5,2.9,1.7,2.5,
90,2017,activity,visited friends or family for leisure,15.3,13.9,10.9,8.9,
91,2017,activity,'special' shopping for items that you do not regularly buy,5.7,6.4,4.5,4.0,
92,2017,activity,went out for a meal,12.4,11.4,7.8,6.9,
93,2017,activity,"went on a night out to a bar, pub and/or club",6.4,6.3,4.6,5.5,
94,2017,activity,"went out for entertainment – to a cinema, concert or theatre",4.4,4.9,2.7,3.1,
95,2017,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",10.6,9.0,9.0,6.0,
96,2017,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",3.1,2.6,2.1,1.7,
97,2017,activity,"took part in sports, including exercise classes, going to the gym",3.4,2.1,2.2,2.5,
98,2017,activity,watched live sporting event (not on tv),3.3,3.1,2.4,2.9,
99,2017,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",5.2,4.5,1.9,2.8,
100,2017,activity,"went to a special public event such as a festival, exhibition, etc.",3.2,2.8,1.7,2.3,
101,2017,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",1.9,3.0,1.1,0.4,
102,2017,activity,"went on days out to a beauty/health centre/spa, etc.",0.9,1.3,1.0,0.5,
103,2017,activity,went on general days out/ to explore an area,7.6,6.4,5.7,5.4,
104,2017,activity,went on day trips/excursions for another leisure purpose not mentioned above,2.2,2.9,1.9,2.1,
105,2018,activity,visited friends or family for leisure,14.4,12.7,8.6,9.4,
106,2018,activity,'special' shopping for items that you do not regularly buy,6.5,4.4,3.2,3.5,
107,2018,activity,went out for a meal,13.8,11.9,6.2,5.5,
108,2018,activity,"went on a night out to a bar, pub and/or club",6.5,6.4,3.5,2.2,
109,2018,activity,"went out for entertainment – to a cinema, concert or theatre",4.4,4.2,2.2,2.5,
110,2018,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",10.1,7.2,4.4,3.7,
111,2018,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",2.8,2.5,2.3,1.3,
112,2018,activity,"took part in sports, including exercise classes, going to the gym",3.6,2.1,1.8,1.2,
113,2018,activity,watched live sporting event (not on tv),3.0,2.9,2.8,2.6,
114,2018,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",4.6,4.6,2.9,1.7,
115,2018,activity,"went to a special public event such as a festival, exhibition, etc.",1.9,2.3,1.7,0.7,
116,2018,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",1.8,1.1,1.1,0.9,
117,2018,activity,"went on days out to a beauty/health centre/spa, etc.",1.2,0.5,0.5,0.4,
118,2018,activity,went on general days out/ to explore an area,8.0,8.1,5.8,3.3,
119,2018,activity,went on day trips/excursions for another leisure purpose not mentioned above,3.5,2.8,1.9,1.9,
120,2019,activity,visited friends or family for leisure,10.4,13.1,10.6,14.6,
121,2019,activity,'special' shopping for items that you do not regularly buy,5.1,5.0,4.9,4.6,
122,2019,activity,went out for a meal,11.1,8.7,6.9,6.5,
123,2019,activity,"went on a night out to a bar, pub and/or club",5.1,4.2,4.5,4.0,
124,2019,activity,"went out for entertainment – to a cinema, concert or theatre",2.7,3.1,3.2,3.7,
125,2019,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",7.2,8.3,5.9,8.5,
126,2019,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",3.6,2.7,2.3,2.0,
127,2019,activity,"took part in sports, including exercise classes, going to the gym",3.2,1.9,0.8,1.6,
128,2019,activity,watched live sporting event (not on tv),3.7,3.0,2.4,3.6,
129,2019,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",3.4,4.0,2.2,3.4,
130,2019,activity,"went to a special public event such as a festival, exhibition, etc.",3.3,1.9,1.1,2.0,
131,2019,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",1.3,1.5,0.6,2.5,
132,2019,activity,"went on days out to a beauty/health centre/spa, etc.",1.2,1.4,1.5,0.7,
133,2019,activity,went on general days out/ to explore an area,5.0,7.1,4.8,6.9,
134,2019,activity,went on day trips/excursions for another leisure purpose not mentioned above,3.0,2.0,1.6,2.1,
0,2011,place,,23.0,20.4,13.0,8.7,city/large town
1,2011,place,,14.5,13.5,8.2,7.2,small town
2,2011,place,,5.1,7.1,4.1,1.8,village
3,2011,place,,9.0,8.7,2.9,3.4,rural countryside
4,2011,place,,2.9,3.1,3.2,0.7,seaside resort or town
5,2011,place,,1.8,2.3,1.7,1.2,seaside coastline - a beach
6,2011,place,,0.8,0.9,0.2,0.3,other seaside coastline
7,2011,place,,1.3,0.8,0.7,0.5,other
8,2012,place,,22.8,27.4,15.2,9.8,city/large town
9,2012,place,,13.7,14.6,8.3,7.4,small town
10,2012,place,,5.3,6.9,3.1,3.2,village
11,2012,place,,8.5,9.5,3.7,2.7,rural countryside
12,2012,place,,2.3,3.1,2.5,0.9,seaside resort or town
13,2012,place,,2.0,2.2,1.2,0.8,seaside coastline - a beach
14,2012,place,,0.5,1.5,0.2,0.0,other seaside coastline
15,2012,place,,0.6,2.2,0.6,0.1,other
16,2013,place,,21.0,22.9,14.0,10.3,city/large town
17,2013,place,,12.2,11.4,6.6,7.2,small town
18,2013,place,,5.3,5.2,3.1,3.2,village
19,2013,place,,7.5,6.3,3.2,3.8,rural countryside
20,2013,place,,2.9,2.4,1.6,1.8,seaside resort or town
21,2013,place,,1.4,1.0,1.0,1.6,seaside coastline - a beach
22,2013,place,,0.7,1.1,0.1,0.9,other seaside coastline
23,2013,place,,0.6,0.6,0.6,0.5,other
24,2014,place,,24.9,20.7,9.1,13.3,city/large town
25,2014,place,,15.1,12.8,6.4,5.6,small town
26,2014,place,,5.4,4.2,2.3,2.2,village
27,2014,place,,7.2,8.1,3.1,2.9,rural countryside
28,2014,place,,4.5,2.8,0.9,1.2,seaside resort or town
29,2014,place,,1.9,1.5,0.7,1.0,seaside coastline - a beach
30,2014,place,,1.4,0.6,0.4,0.2,other seaside coastline
31,2015,place,,24.4,25.1,8.9,9.1,city/large town
32,2015,place,,12.1,12.3,5.0,7.7,small town
33,2015,place,,4.1,5.3,1.3,2.0,village
34,2015,place,,7.6,7.0,2.6,2.6,rural countryside
35,2015,place,,3.2,3.1,1.0,1.3,seaside resort or town
36,2015,place,,1.2,2.1,0.9,0.5,seaside coastline - a beach
37,2015,place,,0.6,0.7,0.1,0.4,other seaside coastline
38,2016,place,,22.9,18.6,10.0,9.7,city/large town
39,2016,place,,11.9,12.0,7.6,7.1,small town
40,2016,place,,4.6,4.8,3.7,3.7,village
41,2016,place,,8.5,5.9,4.1,3.0,rural countryside
42,2016,place,,2.9,1.9,1.5,0.8,seaside resort or town
43,2016,place,,2.2,0.9,0.7,0.8,seaside coastline - a beach
44,2016,place,,0.6,0.8,0.2,0.4,other seaside coastline
45,2017,place,,26.2,19.0,12.3,12.7,city/large town
46,2017,place,,14.2,10.4,8.3,7.1,small town
47,2017,place,,4.9,6.1,3.7,4.0,village
48,2017,place,,7.7,5.0,5.2,3.1,rural countryside
49,2017,place,,2.2,2.8,2.1,2.1,seaside resort or town
50,2017,place,,2.1,2.2,2.5,1.5,seaside coastline - a beach
51,2017,place,,0.4,0.1,0.4,0.9,other seaside coastline
52,2018,place,,20.1,19.1,12.9,11.4,city/large town
53,2018,place,,11.7,10.3,9.4,6.2,small town
54,2018,place,,5.1,4.6,2.9,2.9,village
55,2018,place,,6.4,4.3,5.1,1.4,rural countryside
56,2018,place,,2.7,1.9,1.8,1.4,seaside resort or town
57,2018,place,,1.8,1.1,1.4,0.9,seaside coastline - a beach
58,2018,place,,0.8,0.6,0.2,0.3,other seaside coastline
59,2019,place,,16.9,14.4,11.8,15.7,city/large town
60,2019,place,,7.8,10.0,8.7,10.0,small town
61,2019,place,,4.2,4.6,3.2,4.2,village
62,2019,place,,5.4,4.7,4.4,4.2,rural countryside
63,2019,place,,2.2,1.8,1.9,3.0,seaside resort or town
64,2019,place,,2.7,1.8,0.9,1.4,seaside coastline - a beach
65,2019,place,,0.4,0.4,0.4,0.2,other seaside coastline
0,2011,transport,,35.9,32.0,22.7,12.8,
1,2011,transport,,35.6,31.7,21.0,12.7,
2,2011,transport,,0.3,0.2,1.7,0.1,
3,2011,transport,,8.1,10.0,2.5,5.0,
4,2011,transport,,5.0,5.1,0.8,1.9,
5,2011,transport,,3.2,5.0,1.6,3.1,
6,2011,transport,,0.4,1.2,0.3,0.4,
7,2011,transport,,1.8,1.6,0.7,0.7,
8,2011,transport,,4.0,4.1,2.0,1.6,
9,2011,transport,,0.3,0.2,0.1,0.2,
10,2011,transport,,0.3,0.4,0.1,0.0,
11,2011,transport,,0.3,0.2,0.0,0.0,
12,2011,transport,,0.1,0.2,0.3,0.2,
13,2011,transport,,0.0,0.0,0.5,0.0,
14,2011,transport,,0.2,0.4,0.0,0.0,
15,2011,transport,,0.0,0.9,0.4,0.2,
16,2011,transport,,0.1,0.1,0.0,0.4,
17,2011,transport,,0.1,0.0,0.1,0.0,
18,2011,transport,,0.1,0.1,0.0,0.1,
19,2012,transport,,38.6,36.6,22.5,13.2,
20,2012,transport,,38.3,36.1,22.0,12.9,
21,2012,transport,,0.3,0.4,0.5,0.3,
22,2012,transport,,7.9,10.9,4.7,5.3,
23,2012,transport,,4.8,5.6,2.4,1.8,
24,2012,transport,,3.2,5.3,2.3,3.5,
25,2012,transport,,0.4,0.5,0.4,0.5,
26,2012,transport,,1.1,1.1,0.7,0.8,
27,2012,transport,,1.8,4.7,2.4,1.7,
28,2012,transport,,0.3,0.7,0.2,0.8,
29,2012,transport,,0.1,0.3,0.1,0.0,
30,2012,transport,,0.1,0.0,0.0,0.0,
31,2012,transport,,0.1,0.4,0.0,0.0,
32,2012,transport,,0.0,0.0,0.0,0.0,
33,2012,transport,,0.0,0.0,0.0,0.0,
34,2012,transport,,0.2,0.2,0.0,0.1,
35,2012,transport,,0.4,0.3,0.0,0.1,
36,2012,transport,,0.1,1.8,0.2,0.0,
37,2012,transport,,0.2,0.3,0.5,0.2,
38,2013,transport,,31.6,29.6,17.2,15.1,
39,2013,transport,,30.6,29.2,16.8,15.0,
40,2013,transport,,1.1,0.4,0.4,0.1,
41,2013,transport,,7.6,10.1,6.1,6.2,
42,2013,transport,,4.8,5.2,2.7,2.5,
43,2013,transport,,2.8,4.9,3.4,3.7,
44,2013,transport,,0.2,0.6,0.5,0.2,
45,2013,transport,,0.5,1.4,0.9,0.3,
46,2013,transport,,2.6,2.7,1.2,2.0,
47,2013,transport,,0.4,0.6,0.5,0.3,
48,2013,transport,,0.1,0.1,0.0,0.0,
49,2013,transport,,0.5,0.0,0.0,0.0,
50,2013,transport,,0.1,0.1,0.0,0.0,
51,2013,transport,,0.0,0.0,0.0,0.0,
52,2013,transport,,0.1,0.1,0.1,0.1,
53,2013,transport,,0.0,0.2,0.0,0.0,
54,2013,transport,,0.4,0.1,0.0,0.5,
55,2013,transport,,0.3,0.0,0.0,0.0,
56,2013,transport,,0.2,0.2,0.2,0.3,
57,2014,transport,,36.2,30.3,14.1,13.9,
58,2014,transport,,1.1,0.1,0.2,0.2,
59,2014,transport,,8.6,9.9,4.3,6.9,
60,2014,transport,,4.7,6.2,2.4,3.1,
61,2014,transport,,3.9,3.7,1.8,3.9,
62,2014,transport,,0.1,0.4,0.2,0.0,
63,2014,transport,,2.4,0.9,0.5,1.1,
64,2014,transport,,2.7,4.5,0.7,1.5,
65,2014,transport,,0.8,0.0,0.5,0.2,
66,2014,transport,,0.0,0.1,0.2,0.0,
67,2014,transport,,0.2,0.0,0.0,0.0,
68,2014,transport,,0.0,0.0,0.0,0.0,
69,2014,transport,,0.0,0.0,0.0,0.5,
70,2014,transport,,0.1,0.0,0.0,0.0,
71,2014,transport,,0.0,0.0,0.1,0.5,
72,2014,transport,,0.3,0.3,0.1,0.0,
73,2014,transport,,0.1,0.0,0.0,0.1,
74,2014,transport,,1.0,0.0,0.1,0.0,
75,2015,transport,,33.3,30.5,11.1,12.5,
76,2015,transport,,0.6,0.3,0.8,0.2,
77,2015,transport,,9.7,13.8,4.1,6.1,
78,2015,transport,,5.0,7.0,2.6,2.9,
79,2015,transport,,4.8,6.8,1.6,3.2,
80,2015,transport,,0.8,0.5,0.2,0.6,
81,2015,transport,,1.5,0.9,0.2,0.7,
82,2015,transport,,2.7,3.8,1.5,0.8,
83,2015,transport,,0.3,0.4,0.0,0.2,
84,2015,transport,,0.2,0.5,0.3,0.0,
85,2015,transport,,0.0,0.0,0.2,0.0,
86,2015,transport,,0.0,0.1,0.0,0.0,
87,2015,transport,,0.2,0.1,0.0,0.0,
88,2015,transport,,0.1,0.0,0.0,0.1,
89,2015,transport,,0.3,0.7,0.0,0.0,
90,2015,transport,,0.2,0.3,0.0,0.2,
91,2015,transport,,0.0,0.0,0.0,0.0,
92,2015,transport,,0.1,0.2,0.2,0.1,
93,2016,transport,,35.0,26.4,14.8,15.8,
94,2016,transport,,0.7,0.5,0.7,0.7,
95,2016,transport,,7.4,10.0,4.8,5.8,
96,2016,transport,,4.0,5.4,2.5,2.2,
97,2016,transport,,3.4,4.6,2.3,3.6,
98,2016,transport,,0.5,0.2,0.4,0.4,
99,2016,transport,,1.5,0.7,2.2,0.6,
100,2016,transport,,2.9,2.4,1.5,1.1,
101,2016,transport,,0.7,0.0,0.0,0.1,
102,2016,transport,,0.2,0.2,0.1,0.0,
103,2016,transport,,0.1,0.0,0.1,0.0,
104,2016,transport,,0.2,0.2,0.1,0.1,
105,2016,transport,,0.0,0.3,0.2,0.1,
106,2016,transport,,0.0,0.1,0.0,0.0,
107,2016,transport,,0.1,0.0,0.0,0.2,
108,2016,transport,,0.9,1.0,0.0,0.2,
109,2017,transport,,31.0,25.9,20.9,14.6,
110,2017,transport,,4.4,0.8,0.4,0.9,
111,2017,transport,,8.3,8.4,5.6,7.0,
112,2017,transport,,5.4,4.4,3.0,3.1,
113,2017,transport,,2.8,4.0,2.6,3.8,
114,2017,transport,,0.4,1.2,0.7,0.8,
115,2017,transport,,1.0,1.1,0.7,1.1,
116,2017,transport,,2.5,3.2,1.2,1.7,
117,2017,transport,,0.2,0.8,0.2,0.2,
118,2017,transport,,0.5,0.1,0.0,0.0,
119,2017,transport,,0.2,0.1,0.3,0.0,
120,2017,transport,,0.3,0.1,0.0,0.4,
121,2017,transport,,0.4,0.2,0.3,0.9,
122,2017,transport,,0.2,0.1,0.1,0.2,
123,2017,transport,,0.0,0.1,0.1,0.3,
124,2017,transport,,0.4,0.2,0.2,0.4,
125,2018,transport,,31.0,23.4,17.7,12.2,
126,2018,transport,,1.4,0.3,0.7,0.4,
127,2018,transport,,7.3,9.8,5.7,6.2,
128,2018,transport,,3.6,6.9,3.9,2.4,
129,2018,transport,,3.7,2.9,1.8,3.8,
130,2018,transport,,0.4,0.4,0.2,0.1,
131,2018,transport,,1.0,1.1,0.5,0.9,
132,2018,transport,,2.8,3.2,3.2,2.0,
133,2018,transport,,0.1,0.6,0.1,0.0,
134,2018,transport,,0.4,0.0,0.0,0.1,
135,2018,transport,,0.1,0.2,0.0,0.1,
136,2018,transport,,0.0,0.1,0.0,0.0,
137,2018,transport,,0.4,0.1,0.4,0.8,
138,2018,transport,,0.1,0.1,0.0,0.0,
139,2018,transport,,0.0,0.1,0.0,0.2,
140,2018,transport,,0.2,0.2,0.8,0.8,
141,2019,transport,,22.5,21.6,17.4,18.5,
142,2019,transport,,0.6,0.7,0.6,0.3,
143,2019,transport,,6.0,8.5,4.3,9.7,
144,2019,transport,,3.5,5.0,2.6,4.9,
145,2019,transport,,2.5,3.6,1.8,4.9,
146,2019,transport,,0.8,0.7,0.7,0.4,
147,2019,transport,,1.0,1.6,1.7,1.4,
148,2019,transport,,2.3,1.5,1.6,2.2,
149,2019,transport,,0.4,0.5,0.2,0.1,
150,2019,transport,,1.2,0.1,0.0,0.3,
151,2019,transport,,0.2,0.0,0.1,0.1,
152,2019,transport,,0.1,0.1,0.2,0.1,
153,2019,transport,,0.7,0.2,0.1,0.3,
154,2019,transport,,0.2,0.1,0.1,0.1,
155,2019,transport,,0.1,0.0,0.0,0.2,
156,2019,transport,,0.1,0.2,0.1,0.9,
