activity,total,male,female,16-24,25-34,35-44,45-54,55-64,65+,married,not married,yes,no,access to car (1+),no access to car (0),ab,c1,c2,de,employed/self-employed (full or part time),in full or part time education,unemployed/not working,
,27.8%,25.0%,30.6%,21.4%,26.8%,24.2%,29.5%,32.2%,35.0%,28.1%,27.3%,26.8%,28.1%,29.8%,21.2%,29.2%,29.1%,23.9%,24.3%,27.6%,21.1%,23.9%,
,,,,,,,,,,,,,,,,,,,,,,,
"went on a night out to a bar, pub and/or club",22.3,13.6,8.7,7.1,3.6,3.1,3.2,3.5,1.8,10.9,11.4,5.1,17.2,15.1,7.2,7.4,8.6,2.1,4.2,13.3,3.6,2.9,
,15.6%,19.0%,12.2%,23.4%,12.7%,14.4%,18.5%,15.6%,7.7%,13.1%,19.2%,13.6%,16.3%,13.9%,21.2%,14.8%,16.4%,11.2%,19.5%,17.2%,22.2%,17.2%,
,,,,,,,,,,,,,,,,,,,,,,,
"went out for entertainment - to a cinema, concert or theatre",13.9,7.5,6.4,3.2,2.9,3.4,1.6,2.0,0.9,7.1,6.8,3.0,10.9,10.0,3.9,5.3,5.0,1.1,2.6,8.7,2.1,1.9,
,9.7%,10.4%,9.0%,10.5%,10.3%,15.9%,8.9%,8.6%,4.0%,8.5%,11.4%,8.1%,10.3%,9.2%,11.5%,10.5%,9.5%,5.7%,12.1%,11.3%,13.4%,11.2%,
,,,,,,,,,,,,,,,,,,,,,,,
"undertook outdoor leisure activities such as walking, cycling, golf, etc.",27.2,14.2,12.9,5.9,5.4,4.0,2.8,5.8,3.2,16.5,10.6,5.6,21.6,21.0,6.2,9.0,8.2,5.2,4.8,13.9,3.3,4.1,
,19.0%,19.8%,18.2%,19.4%,19.2%,18.8%,16.1%,25.7%,14.1%,19.8%,17.9%,14.9%,20.5%,19.3%,18.2%,18.0%,15.7%,27.7%,22.1%,18.0%,20.8%,24.9%,
,,,,,,,,,,,,,,,,,,,,,,,
"took part in other leisure activities such as hobbies, evening classes, etc (outside of your home)",11.7,6.6,5.1,3.3,4.1,0.9,1.1,1.2,1.1,6.0,5.7,3.6,8.1,8.8,2.9,3.3,4.5,1.5,2.4,6.9,2.2,1.4,
,8.2%,9.2%,7.2%,10.8%,14.5%,4.2%,6.5%,5.1%,5.0%,7.2%,9.6%,9.8%,7.6%,8.1%,8.5%,6.6%,8.5%,8.3%,11.1%,9.0%,13.5%,8.6%,
,,,,,,,,,,,,,,,,,,,,,,,
"took part in sports, including exercise classes, going to the gym, etc.",8.4,5.4,3.0,2.4,2.8,0.9,0.6,1.3,0.3,3.6,4.9,1.8,6.6,6.7,1.7,2.7,2.2,1.7,1.8,4.8,2.3,0.3,
,5.9%,7.5%,4.3%,7.9%,10.0%,4.5%,3.5%,5.7%,1.5%,4.3%,8.2%,4.8%,6.3%,6.2%,5.0%,5.4%,4.2%,9.3%,8.2%,6.3%,14.1%,1.6%,
,,,,,,,,,,,,,,,,,,,,,,,
watched live sporting events (not on tv),14.0,11.8,2.2,4.9,3.1,1.8,1.7,1.5,1.0,8.2,5.8,3.3,10.7,10.9,3.1,5.6,2.9,2.5,3.0,9.8,1.7,1.0,
,9.8%,16.4%,3.1%,16.1%,10.9%,8.5%,9.9%,6.7%,4.3%,9.8%,9.8%,9.0%,10.1%,10.0%,9.2%,11.2%,5.6%,13.1%,14.1%,12.7%,10.7%,5.9%,
,,,,,,,,,,,,,,,,,,,,,,,
"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",12.5,5.6,6.9,3.5,3.9,1.5,1.2,1.7,0.7,7.2,5.3,5.5,7.0,8.3,4.2,4.6,3.2,1.9,2.8,6.7,2.6,1.5,
,8.8%,7.8%,9.7%,11.6%,13.7%,7.0%,7.1%,7.3%,3.1%,8.6%,8.9%,14.7%,6.7%,7.6%,12.5%,9.1%,6.2%,10.3%,12.9%,8.6%,16.0%,8.9%,
,,,,,,,,,,,,,,,,,,,,,,,
"went to a special public event such as a festival, exhibition, etc.",9.2,3.9,5.3,1.4,2.4,2.1,0.9,1.5,0.9,5.3,4.0,2.7,6.6,7.3,1.9,3.0,3.8,0.8,1.7,5.3,1.4,1.2,
,6.5%,5.5%,7.5%,4.6%,8.6%,10.0%,5.2%,6.7%,3.8%,6.3%,6.7%,7.2%,6.2%,6.7%,5.7%,6.0%,7.3%,4.2%,7.7%,6.9%,8.6%,7.3%,
,,,,,,,,,,,,,,,,,,,,,,,
"went to special events of a personal nature such as a wedding, graduation, christening, etc.",5.9,3.4,2.5,1.7,1.0,0.6,0.4,0.9,1.3,3.3,2.5,1.1,4.8,4.2,1.7,1.8,1.2,0.9,1.9,2.3,1.5,0.3,
,4.1%,4.7%,3.5%,5.4%,3.5%,3.0%,2.4%,3.8%,5.8%,4.0%,4.3%,3.0%,4.5%,3.8%,5.0%,3.5%,2.3%,5.1%,9.0%,2.9%,9.2%,1.6%,
,,,,,,,,,,,,,,,,,,,,,,,
"went on a day out to a beauty or health spa/centre, etc",2.3,1.1,1.2,0.9,0.5,0.1,0.3,0.5,0.0,1.1,1.2,0.4,1.9,1.4,0.9,0.6,0.5,0.2,1.0,1.2,0.8,0.2,
,1.6%,1.5%,1.7%,2.9%,1.7%,0.4%,1.8%,2.0%,0.2%,1.3%,2.0%,1.1%,1.8%,1.3%,2.5%,1.2%,0.9%,1.2%,4.5%,1.5%,5.2%,1.3%,
,,,,,,,,,,,,,,,,,,,,,,,
went on general days out/ to explore an area,20.7,9.6,11.1,2.5,5.5,2.9,2.8,4.0,3.0,13.3,7.4,5.7,15.0,17.3,3.4,7.3,6.7,3.6,3.1,12.3,1.6,2.2,
,14.5%,13.4%,15.6%,8.2%,19.7%,13.4%,15.9%,17.7%,13.2%,16.0%,12.4%,15.2%,14.2%,15.9%,10.1%,14.5%,12.9%,19.4%,14.3%,15.9%,9.8%,13.0%,
,,,,,,,,,,,,,,,,,,,,,,,
went on day trips/excursions for other leisure purpose not mentioned above,10.3,6.0,4.3,2.3,2.0,1.4,1.0,1.5,2.1,6.1,4.2,3.3,7.0,7.7,2.5,3.4,4.1,0.8,1.9,4.8,1.1,1.4,
,7.2%,8.3%,6.1%,7.5%,7.3%,6.4%,5.7%,6.4%,9.5%,7.3%,7.1%,8.8%,6.6%,7.1%,7.5%,6.8%,7.9%,4.2%,8.9%,6.2%,6.8%,8.1%,
,,,,,,,,,,,,,,,,,,,,,,,
none,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
