year,type,activity,yes,no
2016,activity,visited friends or family for leisure,10.6,33.9
2016,activity,'special' shopping for items that you do not regularly buy,5.5,12.3
2016,activity,went out for a meal,8.0,28.2
2016,activity,"went on a night out to a bar, pub and/or club",4.8,15.3
2016,activity,"went out for entertainment – to a cinema, concert or theatre",3.8,9.2
2016,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",5.9,23.6
2016,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",1.7,7.0
2016,activity,"took part in sports, including exercise classes, going to the gym",2.7,5.6
2016,activity,watched live sporting event (not on tv),3.7,8.7
2016,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",3.5,9.3
2016,activity,"went to a special public event such as a festival, exhibition, etc.",1.8,4.5
2016,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",1.4,3.9
2016,activity,"went on days out to a beauty/health centre/spa, etc.",0.7,1.2
2016,activity,went on general days out/ to explore an area,4.4,14.8
2016,activity,went on day trips/excursions for another leisure purpose not mentioned above,2.3,9.4
2017,activity,visited friends or family for leisure,15.9,33.2
2017,activity,'special' shopping for items that you do not regularly buy,7.7,12.9
2017,activity,went out for a meal,8.6,29.9
2017,activity,"went on a night out to a bar, pub and/or club",4.8,18.0
2017,activity,"went out for entertainment – to a cinema, concert or theatre",4.4,10.7
2017,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",8.1,26.5
2017,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",3.7,5.7
2017,activity,"took part in sports, including exercise classes, going to the gym",3.1,7.1
2017,activity,watched live sporting event (not on tv),5.4,6.3
2017,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",4.8,9.6
2017,activity,"went to a special public event such as a festival, exhibition, etc.",3.2,6.8
2017,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",1.3,5.0
2017,activity,"went on days out to a beauty/health centre/spa, etc.",2.2,1.6
2017,activity,went on general days out/ to explore an area,5.3,19.8
2017,activity,went on day trips/excursions for another leisure purpose not mentioned above,2.3,6.8
2018,activity,visited friends or family for leisure,13.8,31.2
2018,activity,'special' shopping for items that you do not regularly buy,6.3,11.2
2018,activity,went out for a meal,11.3,26.2
2018,activity,"went on a night out to a bar, pub and/or club",5.5,13.2
2018,activity,"went out for entertainment – to a cinema, concert or theatre",4.9,8.4
2018,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",7.5,17.8
2018,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",3.0,5.9
2018,activity,"took part in sports, including exercise classes, going to the gym",3.7,4.9
2018,activity,watched live sporting event (not on tv),5.2,6.0
2018,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",5.8,7.9
2018,activity,"went to a special public event such as a festival, exhibition, etc.",1.9,4.8
2018,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",1.4,3.4
2018,activity,"went on days out to a beauty/health centre/spa, etc.",1.3,1.3
2018,activity,went on general days out/ to explore an area,7.6,17.7
2018,activity,went on day trips/excursions for another leisure purpose not mentioned above,3.0,7.2
2019,activity,visited friends or family for leisure,15.0,33.7
2019,activity,'special' shopping for items that you do not regularly buy,6.4,13.2
2019,activity,went out for a meal,7.9,25.3
2019,activity,"went on a night out to a bar, pub and/or club",5.0,12.8
2019,activity,"went out for entertainment – to a cinema, concert or theatre",4.4,8.3
2019,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",8.3,21.6
2019,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",4.9,5.8
2019,activity,"took part in sports, including exercise classes, going to the gym",2.9,4.5
2019,activity,watched live sporting event (not on tv),4.3,8.2
2019,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",5.9,7.1
2019,activity,"went to a special public event such as a festival, exhibition, etc.",2.7,5.6
2019,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.4,3.5
2019,activity,"went on days out to a beauty/health centre/spa, etc.",3.2,1.6
2019,activity,went on general days out/ to explore an area,8.1,15.7
2019,activity,went on day trips/excursions for another leisure purpose not mentioned above,4.1,4.7
